"res_path","file_name","qualifier","ext","bytes","width","height","codec_hint","expected_name","name_rule_ok"
"res/drawable-hdpi\bg_cards.webp","bg_cards.webp","drawable-hdpi",".webp","187678","28","192","VP8","True","True"
"res/drawable-mdpi\bg_cards.webp","bg_cards.webp","drawable-mdpi",".webp","86874","104","128","VP8","True","True"
"res/drawable-xhdpi\bg_cards.webp","bg_cards.webp","drawable-xhdpi",".webp","329974",,,"(unknown)","True","True"
"res/drawable-xxhdpi\bg_cards.webp","bg_cards.webp","drawable-xxhdpi",".webp","800166","56","128","VP8","True","True"
"res/drawable-xxxhdpi\bg_cards.webp","bg_cards.webp","drawable-xxxhdpi",".webp","1273780",,,"(unknown)","True","True"
"res/drawable-nodpi\bg_cards_4k.webp","bg_cards_4k.webp","drawable-nodpi",".webp","2137512","217","215","VP8","False","True"
"res/drawable-hdpi\bg_main.webp","bg_main.webp","drawable-hdpi",".webp","25310","28","192","VP8","True","True"
"res/drawable-mdpi\bg_main.webp","bg_main.webp","drawable-mdpi",".webp","12802","104","128","VP8","True","True"
"res/drawable-xhdpi\bg_main.webp","bg_main.webp","drawable-xhdpi",".webp","38834",,,"(unknown)","True","True"
"res/drawable-xxhdpi\bg_main.webp","bg_main.webp","drawable-xxhdpi",".webp","123966","56","128","VP8","True","True"
"res/drawable-xxxhdpi\bg_main.webp","bg_main.webp","drawable-xxxhdpi",".webp","225248",,,"(unknown)","True","True"
"res/drawable-nodpi\bg_main_4k.webp","bg_main_4k.webp","drawable-nodpi",".webp","431360",,,"(unknown)","False","True"
"res/drawable-hdpi\bg_settings.webp","bg_settings.webp","drawable-hdpi",".webp","85198","28","192","VP8","True","True"
"res/drawable-mdpi\bg_settings.webp","bg_settings.webp","drawable-mdpi",".webp","41988","104","128","VP8","True","True"
"res/drawable-xhdpi\bg_settings.webp","bg_settings.webp","drawable-xhdpi",".webp","136940",,,"(unknown)","True","True"
"res/drawable-xxhdpi\bg_settings.webp","bg_settings.webp","drawable-xxhdpi",".webp","374968","56","128","VP8","True","True"
"res/drawable-xxxhdpi\bg_settings.webp","bg_settings.webp","drawable-xxxhdpi",".webp","595280",,,"(unknown)","True","True"
"res/drawable-nodpi\bg_settings_4k.webp","bg_settings_4k.webp","drawable-nodpi",".webp","979826",,,"(unknown)","False","True"
"res/drawable-hdpi\bg_transactions.webp","bg_transactions.webp","drawable-hdpi",".webp","92170","28","192","VP8","True","True"
"res/drawable-mdpi\bg_transactions.webp","bg_transactions.webp","drawable-mdpi",".webp","46906","104","128","VP8","True","True"
"res/drawable-xhdpi\bg_transactions.webp","bg_transactions.webp","drawable-xhdpi",".webp","149764",,,"(unknown)","True","True"
"res/drawable-xxhdpi\bg_transactions.webp","bg_transactions.webp","drawable-xxhdpi",".webp","403146","56","128","VP8","True","True"
"res/drawable-xxxhdpi\bg_transactions.webp","bg_transactions.webp","drawable-xxxhdpi",".webp","651554",,,"(unknown)","True","True"
"res/drawable-nodpi\bg_transactions_4k.webp","bg_transactions_4k.webp","drawable-nodpi",".webp","1064420",,,"(unknown)","False","True"
"res/mipmap-hdpi\ic_launcher.png","ic_launcher.png","mipmap-hdpi",".png","885","72","72","PNG","False","True"
"res/mipmap-mdpi\ic_launcher.png","ic_launcher.png","mipmap-mdpi",".png","678","48","48","PNG","False","True"
"res/mipmap-xhdpi\ic_launcher.png","ic_launcher.png","mipmap-xhdpi",".png","1267","96","96","PNG","False","True"
"res/mipmap-xxhdpi\ic_launcher.png","ic_launcher.png","mipmap-xxhdpi",".png","2338","144","144","PNG","False","True"
"res/mipmap-xxxhdpi\ic_launcher.png","ic_launcher.png","mipmap-xxxhdpi",".png","3424","192","192","PNG","False","True"
"res/drawable\ic_launcher_fg.png","ic_launcher_fg.png","drawable",".png","10494","432","432","PNG","False","True"
"res/drawable\splash_logo_986.png","splash_logo_986.png","drawable",".png","20194",,,"(unknown)","False","True"
"res/drawable\splash_logo_chikipay.png","splash_logo_chikipay.png","drawable",".png","31172",,,"(unknown)","False","True"
