"Icon","Density","ExpectedPx","Path","Status","Width","Height","Bytes"
"ic_arrow_left","hdpi","36","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-hdpi\ic_arrow_left.webp","OK","36","36","138"
"ic_arrow_left","mdpi","24","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-mdpi\ic_arrow_left.webp","OK","24","24","106"
"ic_arrow_left","xhdpi","48","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xhdpi\ic_arrow_left.webp","OK","48","48","150"
"ic_arrow_left","xxhdpi","72","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xxhdpi\ic_arrow_left.webp","OK","72","72","190"
"ic_arrow_left","xxxhdpi","96","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xxxhdpi\ic_arrow_left.webp","OK","96","96","248"
"ic_arrow_right","hdpi","36","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-hdpi\ic_arrow_right.webp","OK","36","36","136"
"ic_arrow_right","mdpi","24","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-mdpi\ic_arrow_right.webp","OK","24","24","106"
"ic_arrow_right","xhdpi","48","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xhdpi\ic_arrow_right.webp","OK","48","48","150"
"ic_arrow_right","xxhdpi","72","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xxhdpi\ic_arrow_right.webp","OK","72","72","192"
"ic_arrow_right","xxxhdpi","96","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xxxhdpi\ic_arrow_right.webp","OK","96","96","254"
"ic_bank","hdpi","36","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-hdpi\ic_bank.webp","OK","36","36","140"
"ic_bank","mdpi","24","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-mdpi\ic_bank.webp","OK","24","24","104"
"ic_bank","xhdpi","48","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xhdpi\ic_bank.webp","OK","48","48","160"
"ic_bank","xxhdpi","72","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xxhdpi\ic_bank.webp","OK","72","72","222"
"ic_bank","xxxhdpi","96","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xxxhdpi\ic_bank.webp","OK","96","96","272"
"ic_bell","hdpi","36","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-hdpi\ic_bell.webp","OK","36","36","152"
"ic_bell","mdpi","24","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-mdpi\ic_bell.webp","OK","24","24","112"
"ic_bell","xhdpi","48","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xhdpi\ic_bell.webp","OK","48","48","174"
"ic_bell","xxhdpi","72","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xxhdpi\ic_bell.webp","OK","72","72","228"
"ic_bell","xxxhdpi","96","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xxxhdpi\ic_bell.webp","OK","96","96","294"
"ic_bluetooth","hdpi","36","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-hdpi\ic_bluetooth.webp","OK","36","36","170"
